m1,m2,Xieff,VT
35.0,5.000000000000001,-1.0,287448089.3784141
35.0,5.000000000000001,-0.9487179487179487,298578090.868469
35.0,5.000000000000001,-0.8974358974358975,310151805.6492598
35.0,5.000000000000001,-0.8461538461538461,322187658.37340456
35.0,5.000000000000001,-0.7948717948717949,334704907.51522326
35.0,5.000000000000001,-0.7435897435897436,347723655.3499115
35.0,5.000000000000001,-0.6923076923076923,361264854.6475392
35.0,5.000000000000001,-0.641025641025641,375350422.1215222
35.0,5.000000000000001,-0.5897435897435898,390003323.65350205
35.0,5.000000000000001,-0.5384615384615385,405247475.18687856
35.0,5.000000000000001,-0.4871794871794872,421107896.84989744
35.0,5.000000000000001,-0.4358974358974359,437610751.8024605
35.0,5.000000000000001,-0.3846153846153846,454783409.69735515
35.0,5.000000000000001,-0.33333333333333337,472654470.48338807
35.0,5.000000000000001,-0.28205128205128205,491253875.25290084
35.0,5.000000000000001,-0.23076923076923084,510612942.03993356
35.0,5.000000000000001,-0.17948717948717952,530764451.75832605
35.0,5.000000000000001,-0.1282051282051282,551742712.3883735
35.0,5.000000000000001,-0.07692307692307698,573583667.0556855
35.0,5.000000000000001,-0.02564102564102566,596324955.6124836
35.0,5.000000000000001,0.02564102564102555,620005984.9846017
35.0,5.000000000000001,0.07692307692307687,644668065.8876585
35.0,5.000000000000001,0.1282051282051282,670354502.516015
35.0,5.000000000000001,0.17948717948717952,697110714.4091337
35.0,5.000000000000001,0.23076923076923084,724984273.557101
35.0,5.000000000000001,0.28205128205128194,754025175.4682937
35.0,5.000000000000001,0.33333333333333326,784285810.3263729
35.0,5.000000000000001,0.3846153846153846,815821224.7395747
35.0,5.000000000000001,0.4358974358974359,848689226.3234705
35.0,5.000000000000001,0.4871794871794872,882950471.5433733
35.0,5.000000000000001,0.5384615384615383,918668690.4216496
35.0,5.000000000000001,0.5897435897435896,955911035.8372244
35.0,5.000000000000001,0.641025641025641,994747967.9455442
35.0,5.000000000000001,0.6923076923076923,1035253947.6914563
35.0,5.000000000000001,0.7435897435897436,1077506390.9856784
