m1,m2,Xieff,VT
65,5.000000000000001,-1.0,256648014.63183856
65,5.000000000000001,-0.9487179487179487,268974717.2024661
65,5.000000000000001,-0.8974358974358975,281913109.779135
65,5.000000000000001,-0.8461538461538461,295495069.3197674
65,5.000000000000001,-0.7948717948717949,309754171.5007113
65,5.000000000000001,-0.7435897435897436,324725927.64209163
65,5.000000000000001,-0.6923076923076923,340447825.2776903
65,5.000000000000001,-0.641025641025641,356959513.55657655
65,5.000000000000001,-0.5897435897435898,374302853.8175242
65,5.000000000000001,-0.5384615384615385,392522122.1611541
65,5.000000000000001,-0.4871794871794872,411664160.10623664
65,5.000000000000001,-0.4358974358974359,431778538.30649
65,5.000000000000001,-0.3846153846153846,452917422.9228018
65,5.000000000000001,-0.33333333333333337,475137064.2069215
65,5.000000000000001,-0.28205128205128205,498495806.2800935
65,5.000000000000001,-0.23076923076923084,523056355.33970577
65,5.000000000000001,-0.17948717948717952,548884636.4735522
65,5.000000000000001,-0.1282051282051282,576050728.6869678
65,5.000000000000001,-0.07692307692307698,604629144.3792787
65,5.000000000000001,-0.02564102564102566,634699237.8695896
65,5.000000000000001,0.02564102564102555,666343928.8517956
65,5.000000000000001,0.07692307692307687,699653479.7901952
65,5.000000000000001,0.1282051282051282,734722301.0455884
65,5.000000000000001,0.17948717948717952,771651275.5188907
65,5.000000000000001,0.23076923076923084,810547810.0503031
65,5.000000000000001,0.28205128205128194,851526262.4212532
65,5.000000000000001,0.33333333333333326,894708526.3306994
65,5.000000000000001,0.3846153846153846,940224454.6965456
65,5.000000000000001,0.4358974358974359,988212862.9546903
65,5.000000000000001,0.4871794871794872,1038821785.1576322
65,5.000000000000001,0.5384615384615383,1092209460.4809132
65,5.000000000000001,0.5897435897435896,1148545153.8005207
65,5.000000000000001,0.641025641025641,1208010220.8988502
65,5.000000000000001,0.6923076923076923,1270798563.3315914
65,5.000000000000001,0.7435897435897436,1337118327.3009264
65,5.000000000000001,0.7948717948717947,1407192820.2093701
65,5.000000000000001,0.846153846153846,1481261978.3824506
65,5.000000000000001,0.8974358974358974,1559584019.4431243
65,5.000000000000001,0.9487179487179487,1642436408.5763335
65,5.000000000000001,1.0,1730118771.7060242
65,5.3205198960916364,-1.0,285603786.8274332
65,5.3205198960916364,-0.9487179487179487,299359910.9616415
65,5.3205198960916364,-0.8974358974358975,313801132.7417062
65,5.3205198960916364,-0.8461538461538461,328963339.18707025
65,5.3205198960916364,-0.7948717948717949,344884352.47634363
65,5.3205198960916364,-0.7435897435897436,361604191.7890521
65,5.3205198960916364,-0.6923076923076923,379165105.6361927
65,5.3205198960916364,-0.641025641025641,397611767.4195342
65,5.3205198960916364,-0.5897435897435898,416991426.6806817
65,5.3205198960916364,-0.5384615384615385,437354079.09894645
65,5.3205198960916364,-0.4871794871794872,458752318.1383781
65,5.3205198960916364,-0.4358974358974359,481242859.71752584
65,5.3205198960916364,-0.3846153846153846,504884460.0376888
65,5.3205198960916364,-0.33333333333333337,529740426.60539395
65,5.3205198960916364,-0.28205128205128205,555877041.1169841
65,5.3205198960916364,-0.23076923076923084,583364915.7558793
65,5.3205198960916364,-0.17948717948717952,612279084.0935777
65,5.3205198960916364,-0.1282051282051282,642699243.6664373
65,5.3205198960916364,-0.07692307692307698,674709310.0690701
65,5.3205198960916364,-0.02564102564102566,708399573.9077468
65,5.3205198960916364,0.02564102564102555,743865143.9101596
65,5.3205198960916364,0.07692307692307687,781207453.3984609
65,5.3205198960916364,0.1282051282051282,820534392.8046011
65,5.3205198960916364,0.17948717948717952,861960822.5829095
65,5.3205198960916364,0.23076923076923084,905609143.3854158
65,5.3205198960916364,0.28205128205128194,951609670.8897287
65,5.3205198960916364,0.33333333333333326,1000101651.2380171
65,5.3205198960916364,0.3846153846153846,1051233544.6195544
65,5.3205198960916364,0.4358974358974359,1105163938.0387337
65,5.3205198960916364,0.4871794871794872,1162062315.142685
65,5.3205198960916364,0.5384615384615383,1222110297.3891468
65,5.3205198960916364,0.5897435897435896,1285501935.734493
65,5.3205198960916364,0.641025641025641,1352445530.1762867
65,5.3205198960916364,0.6923076923076923,1423163566.9486208
65,5.3205198960916364,0.7435897435897436,1497896359.2177594
65,5.3205198960916364,0.7948717948717947,1576901340.0263455
65,5.3205198960916364,0.846153846153846,1660455193.2087073
65,5.3205198960916364,0.8974358974358974,1748856430.27942
65,5.3205198960916364,0.9487179487179487,1842426414.1728477
65,5.3205198960916364,1.0,1941513178.9555542
65,5.66158639294139,-1.0,318028869.13188213
65,5.66158639294139,-0.9487179487179487,333391871.2313631
65,5.66158639294139,-0.8974358974358975,349522944.39286244
65,5.66158639294139,-0.8461538461538461,366462514.202573
65,5.66158639294139,-0.7948717948717949,384253211.623812
65,5.66158639294139,-0.7435897435897436,402940216.32306176
65,5.66158639294139,-0.6923076923076923,422571165.47544926
65,5.66158639294139,-0.641025641025641,443196283.95046556
65,5.66158639294139,-0.5897435897435898,464869416.9133063
65,5.66158639294139,-0.5384615384615385,487646944.7331649
65,5.66158639294139,-0.4871794871794872,511588612.1847757
65,5.66158639294139,-0.4358974358974359,536758095.57646936
65,5.66158639294139,-0.3846153846153846,563222125.3425367
65,5.66158639294139,-0.33333333333333337,591052018.8705758
65,5.66158639294139,-0.28205128205128205,620323531.1842995
65,5.66158639294139,-0.23076923076923084,651116216.647167
65,5.66158639294139,-0.17948717948717952,683515721.0147754
65,5.66158639294139,-0.1282051282051282,717612134.0916498
65,5.66158639294139,-0.07692307692307698,753501424.422237
65,5.66158639294139,-0.02564102564102566,791285613.4892205
65,5.66158639294139,0.02564102564102555,831073217.2377956
65,5.66158639294139,0.07692307692307687,872979728.822868
65,5.66158639294139,0.1282051282051282,917128096.7211568
65,5.66158639294139,0.17948717948717952,963649418.1566951
65,5.66158639294139,0.23076923076923084,1012683289.1888702
65,5.66158639294139,0.28205128205128194,1064378932.7541419
65,5.66158639294139,0.33333333333333326,1118895249.4925177
65,5.66158639294139,0.3846153846153846,1176402351.462507
65,5.66158639294139,0.4358974358974359,1237082167.8078666
65,5.66158639294139,0.4871794871794872,1301129140.375774
65,5.66158639294139,0.5384615384615383,1368751535.168582
65,5.66158639294139,0.5897435897435896,1440172679.8786254
65,5.66158639294139,0.641025641025641,1515632113.1076763
65,5.66158639294139,0.6923076923076923,1595387301.3500717
65,5.66158639294139,0.7435897435897436,1679714482.0285544
65,5.66158639294139,0.7948717948717947,1768911458.6260526
65,5.66158639294139,0.846153846153846,1863298569.3806787
