m1,m2,Xieff,VT
50,5.000000000000001,-1.0,281713602.73854613
50,5.000000000000001,-0.9487179487179487,293795053.61572987
50,5.000000000000001,-0.8974358974358975,306422151.1435163
50,5.000000000000001,-0.8461538461538461,319610853.858461
50,5.000000000000001,-0.7948717948717949,333392616.47290343
50,5.000000000000001,-0.7435897435897436,347795471.0076998
50,5.000000000000001,-0.6923076923076923,362848880.73546124
50,5.000000000000001,-0.641025641025641,378583788.04244167
50,5.000000000000001,-0.5897435897435898,395032750.76278436
50,5.000000000000001,-0.5384615384615385,412229985.89894706
50,5.000000000000001,-0.4871794871794872,430211765.80222255
50,5.000000000000001,-0.4358974358974359,449015026.5695118
50,5.000000000000001,-0.3846153846153846,468676623.8383584
50,5.000000000000001,-0.33333333333333337,489246274.6279338
50,5.000000000000001,-0.28205128205128205,510764064.7317158
50,5.000000000000001,-0.23076923076923084,533280036.00798094
50,5.000000000000001,-0.17948717948717952,556836503.6003838
50,5.000000000000001,-0.1282051282051282,581488034.4099523
50,5.000000000000001,-0.07692307692307698,607289424.2300224
50,5.000000000000001,-0.02564102564102566,634298305.0397966
50,5.000000000000001,0.02564102564102555,662575510.2255079
50,5.000000000000001,0.07692307692307687,692184639.2257314
50,5.000000000000001,0.1282051282051282,723193525.2008427
50,5.000000000000001,0.17948717948717952,755673630.7632042
50,5.000000000000001,0.23076923076923084,789700415.635785
50,5.000000000000001,0.28205128205128194,825353799.6189616
50,5.000000000000001,0.33333333333333326,862718271.8990927
50,5.000000000000001,0.3846153846153846,901883222.6021398
50,5.000000000000001,0.4358974358974359,942943319.3991742
50,5.000000000000001,0.4871794871794872,985994948.6764891
50,5.000000000000001,0.5384615384615383,1031156346.0549543
50,5.000000000000001,0.5897435897435896,1078528358.8223915
50,5.000000000000001,0.641025641025641,1128230736.1537297
50,5.000000000000001,0.6923076923076923,1180398553.4107203
50,5.000000000000001,0.7435897435897436,1235162946.7372
50,5.000000000000001,0.7948717948717947,1292667588.8986666
50,5.000000000000001,0.846153846153846,1353065371.9474626
50,5.000000000000001,0.8974358974358974,1416523876.4137993
50,5.000000000000001,0.9487179487179487,1483202456.869679
50,5.000000000000001,1.0,1553300436.7198322
50,5.3205198960916364,-1.0,314400274.41634524
50,5.3205198960916364,-0.9487179487179487,327944776.9705664
50,5.3205198960916364,-0.8974358974358975,342098480.27594405
50,5.3205198960916364,-0.8461538461538461,356890178.01030827
50,5.3205198960916364,-0.7948717948717949,372350106.0747247
50,5.3205198960916364,-0.7435897435897436,388510051.3209788
50,5.3205198960916364,-0.6923076923076923,405403436.59076023
50,5.3205198960916364,-0.641025641025641,423065396.9721199
50,5.3205198960916364,-0.5897435897435898,441532772.7967807
50,5.3205198960916364,-0.5384615384615385,460840616.15143776
50,5.3205198960916364,-0.4871794871794872,481037879.42376435
50,5.3205198960916364,-0.4358974358974359,502163533.6866796
50,5.3205198960916364,-0.3846153846153846,524262924.46830505
50,5.3205198960916364,-0.33333333333333337,547387627.497037
50,5.3205198960916364,-0.28205128205128205,571580273.7283397
50,5.3205198960916364,-0.23076923076923084,596897848.4836403
50,5.3205198960916364,-0.17948717948717952,623396111.0226153
50,5.3205198960916364,-0.1282051282051282,651134476.2718744
50,5.3205198960916364,-0.07692307692307698,680174694.9319574
50,5.3205198960916364,-0.02564102564102566,710582654.2933832
50,5.3205198960916364,0.02564102564102555,742427718.6742992
50,5.3205198960916364,0.07692307692307687,775783175.6907421
50,5.3205198960916364,0.1282051282051282,810726387.3047342
50,5.3205198960916364,0.17948717948717952,847339381.7240887
50,5.3205198960916364,0.23076923076923084,885708698.829298
50,5.3205198960916364,0.28205128205128194,925925989.9635648
50,5.3205198960916364,0.33333333333333326,968088362.7215302
50,5.3205198960916364,0.3846153846153846,1012299529.9729644
50,5.3205198960916364,0.4358974358974359,1058665504.4857132
50,5.3205198960916364,0.4871794871794872,1107304847.1967335
50,5.3205198960916364,0.5384615384615383,1158335244.6023755
50,5.3205198960916364,0.5897435897435896,1211894811.373277
50,5.3205198960916364,0.641025641025641,1268117936.2086892
50,5.3205198960916364,0.6923076923076923,1327151702.5573957
50,5.3205198960916364,0.7435897435897436,1389157351.5743616
50,5.3205198960916364,0.7948717948717947,1454287315.1530178
50,5.3205198960916364,0.846153846153846,1522733333.9249053
50,5.3205198960916364,0.8974358974358974,1594684950.9604545
50,5.3205198960916364,0.9487179487179487,1670334422.3721418
50,5.3205198960916364,1.0,1749904563.8405693
50,5.66158639294139,-1.0,351143736.7862362
50,5.66158639294139,-0.9487179487179487,366341282.06507385
50,5.66158639294139,-0.8974358974358975,382225594.0426063
50,5.66158639294139,-0.8461538461538461,398829340.7271625
50,5.66158639294139,-0.7948717948717949,416186852.1525283
50,5.66158639294139,-0.7435897435897436,434334474.8840096
50,5.66158639294139,-0.6923076923076923,453309316.814708
50,5.66158639294139,-0.641025641025641,473148266.4405129
50,5.66158639294139,-0.5897435897435898,493901073.63695276
50,5.66158639294139,-0.5384615384615385,515607912.94900465
50,5.66158639294139,-0.4871794871794872,538315359.2836025
50,5.66158639294139,-0.4358974358974359,562076229.2683165
50,5.66158639294139,-0.3846153846153846,586934637.9881383
50,5.66158639294139,-0.33333333333333337,612948880.3296736
50,5.66158639294139,-0.28205128205128205,640176275.1845182
50,5.66158639294139,-0.23076923076923084,668677796.9282496
50,5.66158639294139,-0.17948717948717952,698516856.0878724
50,5.66158639294139,-0.1282051282051282,729761074.8218
50,5.66158639294139,-0.07692307692307698,762481664.7097925
50,5.66158639294139,-0.02564102564102566,796753804.6955096
50,5.66158639294139,0.02564102564102555,832657013.4649985
50,5.66158639294139,0.07692307692307687,870275335.0670689
50,5.66158639294139,0.1282051282051282,909697600.3322709
50,5.66158639294139,0.17948717948717952,951017849.8641664
50,5.66158639294139,0.23076923076923084,994331720.3135651
50,5.66158639294139,0.28205128205128194,1039756454.2575891
50,5.66158639294139,0.33333333333333326,1087391942.5316994
50,5.66158639294139,0.3846153846153846,1137361432.3159287
50,5.66158639294139,0.4358974358974359,1189784379.5160313
50,5.66158639294139,0.4871794871794872,1244804447.690087
50,5.66158639294139,0.5384615384615383,1302558696.3933477
50,5.66158639294139,0.5897435897435896,1363197833.6745641
50,5.66158639294139,0.641025641025641,1426886864.7892597
50,5.66158639294139,0.6923076923076923,1493782419.7916114
50,5.66158639294139,0.7435897435897436,1564080320.4677017
50,5.66158639294139,0.7948717948717947,1637974641.7465503
50,5.66158639294139,0.846153846153846,1715664354.6386223
50,5.66158639294139,0.8974358974358974,1797369237.3811984
50,5.66158639294139,0.9487179487179487,1883330584.015292
50,5.66158639294139,1.0,1973799769.4796944
50,6.024516609417269,-1.0,392465777.34334904
50,6.024516609417269,-0.9487179487179487,409531923.7701046
50,6.024516609417269,-0.8974358974358975,427373097.3681078
50,6.024516609417269,-0.8461538461538461,446026690.03074586
50,6.024516609417269,-0.7948717948717949,465526646.02923626
50,6.024516609417269,-0.7435897435897436,485923397.8879706
50,6.024516609417269,-0.6923076923076923,507255566.5389837
50,6.024516609417269,-0.641025641025641,529572303.88793933
50,6.024516609417269,-0.5897435897435898,552914367.6484256
50,6.024516609417269,-0.5384615384615385,577335288.8880935
50,6.024516609417269,-0.4871794871794872,602888533.9647564
50,6.024516609417269,-0.4358974358974359,629629928.7545344
50,6.024516609417269,-0.3846153846153846,657618673.6995978
50,6.024516609417269,-0.33333333333333337,686917153.0185724
50,6.024516609417269,-0.28205128205128205,717590565.7401252
50,6.024516609417269,-0.23076923076923084,749708400.0772672
50,6.024516609417269,-0.17948717948717952,783343798.7465897
50,6.024516609417269,-0.1282051282051282,818573976.205117
50,6.024516609417269,-0.07692307692307698,855480591.3481802
50,6.024516609417269,-0.02564102564102566,894149952.1398238
50,6.024516609417269,0.02564102564102555,934673255.2239258
50,6.024516609417269,0.07692307692307687,977147059.4180206
50,6.024516609417269,0.1282051282051282,1021669652.4607481
50,6.024516609417269,0.17948717948717952,1068361021.6492032
50,6.024516609417269,0.23076923076923084,1117324018.3069735
50,6.024516609417269,0.28205128205128194,1168685051.9897883
50,6.024516609417269,0.33333333333333326,1222566617.4157577
50,6.024516609417269,0.3846153846153846,1279116027.299421
50,6.024516609417269,0.4358974358974359,1338473902.6064236
50,6.024516609417269,0.4871794871794872,1400799461.3600485
50,6.024516609417269,0.5384615384615383,1466247649.5703433
50,6.024516609417269,0.5897435897435896,1534998502.8229165
50,6.024516609417269,0.641025641025641,1607237590.9989822
50,6.024516609417269,0.6923076923076923,1683164696.0488734
50,6.024516609417269,0.7435897435897436,1762986858.7872
50,6.024516609417269,0.7948717948717947,1846938653.9899323
50,6.024516609417269,0.846153846153846,1935258208.5960648
50,6.024516609417269,0.8974358974358974,2028197908.1676807
50,6.024516609417269,0.9487179487179487,2126046537.807341
50,6.024516609417269,1.0,2229087931.106975
50,6.410712096947821,-1.0,438945355.5902489
50,6.410712096947821,-0.9487179487179487,458124633.7347484
50,6.410712096947821,-0.8974358974358975,478179540.50094974
50,6.410712096947821,-0.8461538461538461,499148125.20409864
50,6.410712096947821,-0.7948717948717949,521083029.76380897
50,6.410712096947821,-0.7435897435897436,544030835.5090799
50,6.410712096947821,-0.6923076923076923,568032786.192146
50,6.410712096947821,-0.641025641025641,593144793.0024086
50,6.410712096947821,-0.5897435897435898,619421413.922792
50,6.410712096947821,-0.5384615384615385,646920113.7827756
50,6.410712096947821,-0.4871794871794872,675701946.4410212
50,6.410712096947821,-0.4358974358974359,705830408.6349874
50,6.410712096947821,-0.3846153846153846,737373160.9180964
50,6.410712096947821,-0.33333333333333337,770401414.2581484
50,6.410712096947821,-0.28205128205128205,804990344.9197813
50,6.410712096947821,-0.23076923076923084,841219294.6339715
50,6.410712096947821,-0.17948717948717952,879172195.8441097
50,6.410712096947821,-0.1282051282051282,918937703.4291198
50,6.410712096947821,-0.07692307692307698,960609536.7159094
50,6.410712096947821,-0.02564102564102566,1004286924.8167778
50,6.410712096947821,0.02564102564102555,1050070791.2833486
50,6.410712096947821,0.07692307692307687,1098084187.2106843
50,6.410712096947821,0.1282051282051282,1148433012.3900933
50,6.410712096947821,0.17948717948717952,1201242164.0135736
50,6.410712096947821,0.23076923076923084,1256651875.8055208
50,6.410712096947821,0.28205128205128194,1314798755.2747726
50,6.410712096947821,0.33333333333333326,1375832027.1628885
50,6.410712096947821,0.3846153846153846,1439914884.8227298
50,6.410712096947821,0.4358974358974359,1507206648.6071062
50,6.410712096947821,0.4871794871794872,1577891795.1675482
50,6.410712096947821,0.5384615384615383,1652161585.9671137
50,6.410712096947821,0.5897435897435896,1730217948.9821608
50,6.410712096947821,0.641025641025641,1812277459.3545086
50,6.410712096947821,0.6923076923076923,1898577383.2446272
50,6.410712096947821,0.7435897435897436,1989359129.3031068
50,6.410712096947821,0.7948717948717947,2084890237.1724205
50,6.410712096947821,0.846153846153846,2185450490.1205306
50,6.410712096947821,0.8974358974358974,2291350080.2460012
50,6.410712096947821,0.9487179487179487,2402910228.7989335
50,6.410712096947821,1.0,2520484112.3137736
50,6.821664251985242,-1.0,491224760.97715044
50,6.821664251985242,-0.9487179487179487,512794831.80810374
50,6.821664251985242,-0.8974358974358975,535358958.364659
50,6.821664251985242,-0.8461538461538461,558957246.1516598
50,6.821664251985242,-0.7948717948717949,583644365.8186145
50,6.821664251985242,-0.7435897435897436,609473654.210749
50,6.821664251985242,-0.6923076923076923,636501285.2361394
50,6.821664251985242,-0.641025641025641,664786361.322864
50,6.821664251985242,-0.5897435897435898,694391671.2941658
50,6.821664251985242,-0.5384615384615385,725382524.1849985
50,6.821664251985242,-0.4871794871794872,757828514.2485422
50,6.821664251985242,-0.4358974358974359,791802868.159744
50,6.821664251985242,-0.3846153846153846,827382886.2823834
50,6.821664251985242,-0.33333333333333337,864650170.2235844
50,6.821664251985242,-0.28205128205128205,903690980.8471903
50,6.821664251985242,-0.23076923076923084,944592557.119237
50,6.821664251985242,-0.17948717948717952,987463008.9268149
50,6.821664251985242,-0.1282051282051282,1032392548.4604421
50,6.821664251985242,-0.07692307692307698,1079492889.6582932
50,6.821664251985242,-0.02564102564102566,1128878282.4931853
50,6.821664251985242,0.02564102564102555,1180670474.4756982
50,6.821664251985242,0.07692307692307687,1234991620.3063946
50,6.821664251985242,0.1282051282051282,1291987733.8789146
50,6.821664251985242,0.17948717948717952,1351798502.3016398
50,6.821664251985242,0.23076923076923084,1414581766.0357873
50,6.821664251985242,0.28205128205128194,1480491072.3505883
50,6.821664251985242,0.33333333333333326,1549703479.04661
50,6.821664251985242,0.3846153846153846,1622404664.828955
50,6.821664251985242,0.4358974358974359,1698791685.2339075
50,6.821664251985242,0.4871794871794872,1779069177.4181886
50,6.821664251985242,0.5384615384615383,1863462857.3851686
50,6.821664251985242,0.5897435897435896,1952209295.468198
50,6.821664251985242,0.641025641025641,2045559332.5867748
50,6.821664251985242,0.6923076923076923,2143794351.3247201
50,6.821664251985242,0.7435897435897436,2247191665.073511
50,6.821664251985242,0.7948717948717947,2356071839.7261662
50,6.821664251985242,0.846153846153846,2470763799.7933273
50,6.821664251985242,0.8974358974358974,2591628889.1473994
50,6.821664251985242,0.9487179487179487,2719052045.655603
50,6.821664251985242,1.0,2853449782.607623
50,7.258960075428909,-1.0,550035645.2820425
50,7.258960075428909,-0.9487179487179487,574310763.0445316
50,7.258960075428909,-0.8974358974358975,599706572.4278415
50,7.258960075428909,-0.8461538461538461,626277946.7993494
50,7.258960075428909,-0.7948717948717949,654082702.7564821
50,7.258960075428909,-0.7435897435897436,683181667.3810073
50,7.258960075428909,-0.6923076923076923,713639427.2320966
50,7.258960075428909,-0.641025641025641,745523204.1125175
50,7.258960075428909,-0.5897435897435898,778904590.584468
50,7.258960075428909,-0.5384615384615385,813858923.3844802
50,7.258960075428909,-0.4871794871794872,850465731.6206759
50,7.258960075428909,-0.4358974358974359,888808916.8896502
50,7.258960075428909,-0.3846153846153846,928977291.7138889
50,7.258960075428909,-0.33333333333333337,971064530.1933528
50,7.258960075428909,-0.28205128205128205,1015169738.180217
50,7.258960075428909,-0.23076923076923084,1061393852.8163018
50,7.258960075428909,-0.17948717948717952,1109859472.8145578
50,7.258960075428909,-0.1282051282051282,1160672301.2091455
50,7.258960075428909,-0.07692307692307698,1213956738.2052696
50,7.258960075428909,-0.02564102564102566,1269852425.0556786
50,7.258960075428909,0.02564102564102555,1328495212.0257049
50,7.258960075428909,0.07692307692307687,1390038056.689144
50,7.258960075428909,0.1282051282051282,1454628958.433833
50,7.258960075428909,0.17948717948717952,1522439351.9653835
50,7.258960075428909,0.23076923076923084,1593648329.5945942
50,7.258960075428909,0.28205128205128194,1668446138.736086
50,7.258960075428909,0.33333333333333326,1747030029.2038977
50,7.258960075428909,0.3846153846153846,1829616415.3230574
50,7.258960075428909,0.4358974358974359,1916433933.0488822
50,7.258960075428909,0.4871794871794872,2007725947.9259014
50,7.258960075428909,0.5384615384615383,2103753231.0807984
50,7.258960075428909,0.5897435897435896,2204790812.102956
50,7.258960075428909,0.641025641025641,2311142395.2488737
50,7.258960075428909,0.6923076923076923,2423121760.22836
50,7.258960075428909,0.7435897435897436,2541074395.5925603
50,7.258960075428909,0.7948717948717947,2665366298.9909277
50,7.258960075428909,0.846153846153846,2796388578.250947
50,7.258960075428909,0.8974358974358974,2934569440.591606
