Event ID                                  Neff_z                    Neff_chi  
GW150914                              99.87609774018063        96.41599754135665
GW151012                              99.0065950719438         77.01388583183505
GW151226                              99.85229866761186        81.58070062867128
GW170104                              99.31106968899705        93.24578157397731
GW170608                              99.9373677368462         86.53482371696207
GW170729                              97.5536990638942         28.38195282584632
GW170809                              99.66173447699677        92.08761789056922
GW170814                              99.87050528199133        97.3961115521303
GW170818                              99.55544825918466        67.01838518663638
GW170823                              98.71806694599093        65.39154215314882
GW190408_181802_mixed-nocosmo         99.46628321818615        95.83789860294628
GW190412_mixed-nocosmo                99.78218687469334        88.4551160102418
GW190413_052954_mixed-nocosmo         97.26179240135755        88.48649788568567
GW190413_134308_mixed-nocosmo         95.23995147483312        68.71689790911432
GW190421_213856_mixed-nocosmo         97.0028757670732         59.820026744051304
GW190503_185404-nocosmo               99.05511317772603        71.6271068002943
GW190512_180714_mixed-nocosmo         99.20959547943258        96.44174385854973
GW190513_205428_mixed-nocosmo         98.88794360729226        47.13628697374475
GW190517_055101_mixed-nocosmo         96.1996154056889         19.116798880326105
GW190519_153544_mixed-nocosmo         96.76618585745682        39.7950401724936
GW190521_074359_mixed-nocosmo         98.92759297844465        93.96867823565391
GW190521_mixed-nocosmo                94.6831051259766         42.460322923650686
GW190527_092055_mixed-nocosmo         95.5351763754344         50.86274855890164
GW190602_175927_mixed-nocosmo         96.83154799427035        76.31827769367915
GW190620_030421_mixed-nocosmo         97.48489921302723        15.894725805769925
GW190630_185205_mixed-nocosmo         99.3891461157589         93.37521294634291
GW190701_203306_mixed-nocosmo         99.0670766159197         26.74056517301984
GW190706_222641_mixed-nocosmo         95.09835251658997        44.75999678048366
GW190707_093326_mixed-nocosmo         99.57762879783813        98.57259048504667
GW190708_232457_mixed-nocosmo         99.55689443952112        97.37867709682018
GW190719_215514_mixed-nocosmo         88.20779110695284        3.203318804308774
GW190720_000836_mixed-nocosmo         99.27249000283815        86.30056249871402
GW190725_174728_mixed-nocosmo         99.23067172437422        73.52496305826088
GW190727_060333_mixed-nocosmo         98.36326242472937        68.46747981760304
GW190728_064510_mixed-nocosmo         99.54925331244881        86.15748716525474
GW190731_140936_mixed-nocosmo         94.25813464718941        74.8707860350605
GW190803_022701_mixed-nocosmo         97.16054119551168        33.17207672650008
GW190805_211137_mixed-nocosmo         90.26394243560644        25.24573550467337
GW190814_063405_mixed-nocosmo         98.86621673191392        86.45536932080918
GW190814_065509_mixed-nocosmo         98.82294986002913        88.48714223471717
GW190910_112807_mixed-nocosmo         98.65888708220609        96.22160899706805
GW190915_235702_mixed-nocosmo         99.02112643347166        94.19950048378479
GW190924_021846_mixed-nocosmo         99.75691256931802        89.06137687636307
GW190925_232845_mixed-nocosmo         99.50667936033582        92.28882730733713
GW190929_012149_mixed-nocosmo         93.88276847222232        75.72171478441105
GW190930_133541_mixed-nocosmo         99.63066932737249        83.9992466565072
GW191103_012549_mixed_nocosmo_v1      99.29577882490848        86.33396587102132
GW191105_143521_mixed_nocosmo_v1      99.55049923157453        98.08247235217905
GW191109_010717_mixed_nocosmo_v1      97.64265618146295        24.05540002728484
GW191127_050227_mixed_nocosmo_v1      94.26736218700997        37.35579128723934
GW191129_134029_mixed_nocosmo_v1      99.64953472392014        90.65588518512922
GW191204_171526_mixed_nocosmo_v1      99.79626554957082        96.17001949640644
GW191215_223052_mixed_nocosmo_v1      98.33736365758195        84.84546838817012
GW191216_213338_mixed_nocosmo_v1      99.90870992181331        83.43666005383258
GW191222_033537_mixed_nocosmo_v1      96.50071063290973        88.10130488609175
GW191230_180458_mixed_nocosmo_v1      96.10642456770745        64.96211353889697
GW200112_155838_mixed_nocosmo_v1      99.36646643318166        93.95110367182193
GW200128_022011_mixed_nocosmo_v1      96.84380424638677        80.39018812819624
GW200129_065458_mixed_nocosmo_v1      99.6268646731232         95.00462481262238
GW200202_154313_mixed_nocosmo_v1      99.85189156587656        89.93712503780726
GW200208_130117_mixed_nocosmo_v1      98.25815625701163        68.64434909839177
GW200209_085452_mixed_nocosmo_v1      96.94059909073735        60.551718817211324
GW200216_220804_mixed_nocosmo_v1      94.52275408018879        43.99331242686069
GW200219_094415_mixed_nocosmo_v1      97.17005106621073        87.05058801055436
GW200224_222234_mixed_nocosmo_v1      99.60324338766024        93.42577024160312
GW200225_060421_mixed_nocosmo_v1      99.38208929110775        70.49157073849805
GW200302_015811_mixed_nocosmo_v1      98.17122009427162        75.16855386315592
GW200311_115853_mixed_nocosmo_v1      99.66960980309861        74.02015418580758
GW200316_215756_mixed_nocosmo_v1      99.28230574691779        81.48057815316109
